build keys=1048576 fanout=16 records=16777216 hot=10485 capacity=178246 nocache=true elapsed_ms=318 rss_kib=3376 file_bytes=411500544 writes=2048
round=0 elapsed_us=14896 rss_kib=28944 reads=21 read_bytes=4219488 writes=0 active_keys=10485 calls=1
round=1 elapsed_us=7362 rss_kib=29216 reads=0 read_bytes=0 writes=0 active_keys=0 calls=2
round=2 elapsed_us=7747 rss_kib=29248 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=3
round=3 elapsed_us=7454 rss_kib=29312 reads=0 read_bytes=0 writes=0 active_keys=0 calls=4
round=4 elapsed_us=7916 rss_kib=29312 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=5
round=5 elapsed_us=7438 rss_kib=29344 reads=0 read_bytes=0 writes=0 active_keys=0 calls=6
round=6 elapsed_us=7912 rss_kib=29376 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=7
round=7 elapsed_us=7315 rss_kib=29392 reads=0 read_bytes=0 writes=0 active_keys=0 calls=8
round=8 elapsed_us=7761 rss_kib=29424 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=9
round=9 elapsed_us=7552 rss_kib=29472 reads=0 read_bytes=0 writes=0 active_keys=0 calls=10
round=10 elapsed_us=8093 rss_kib=29504 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=11
round=11 elapsed_us=7360 rss_kib=29504 reads=0 read_bytes=0 writes=0 active_keys=0 calls=12
verified rounds=12 rss_kib=29504 file_bytes=0 total_read_bytes=4219488
