build keys=1048576 fanout=16 records=16777216 hot=10485 capacity=178246 nocache=true elapsed_ms=320 rss_kib=3424 file_bytes=411500544 writes=2048
round=0 elapsed_us=459792 rss_kib=35472 reads=2048 read_bytes=411500544 writes=0 active_keys=10485 calls=1
round=1 elapsed_us=7301 rss_kib=35696 reads=0 read_bytes=0 writes=0 active_keys=0 calls=2
round=2 elapsed_us=8047 rss_kib=35824 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=3
round=3 elapsed_us=7639 rss_kib=35872 reads=0 read_bytes=0 writes=0 active_keys=0 calls=4
round=4 elapsed_us=7625 rss_kib=35904 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=5
round=5 elapsed_us=7333 rss_kib=35920 reads=0 read_bytes=0 writes=0 active_keys=0 calls=6
round=6 elapsed_us=7858 rss_kib=35952 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=7
round=7 elapsed_us=7210 rss_kib=35952 reads=0 read_bytes=0 writes=0 active_keys=0 calls=8
round=8 elapsed_us=7722 rss_kib=35984 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=9
round=9 elapsed_us=7388 rss_kib=36032 reads=0 read_bytes=0 writes=0 active_keys=0 calls=10
round=10 elapsed_us=7987 rss_kib=36048 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=11
round=11 elapsed_us=7607 rss_kib=36048 reads=0 read_bytes=0 writes=0 active_keys=0 calls=12
round=12 elapsed_us=7706 rss_kib=36048 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=13
round=13 elapsed_us=7235 rss_kib=36048 reads=0 read_bytes=0 writes=0 active_keys=0 calls=14
round=14 elapsed_us=7869 rss_kib=36064 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=15
round=15 elapsed_us=7272 rss_kib=36080 reads=0 read_bytes=0 writes=0 active_keys=0 calls=16
round=16 elapsed_us=7944 rss_kib=36080 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=17
round=17 elapsed_us=7426 rss_kib=36080 reads=0 read_bytes=0 writes=0 active_keys=0 calls=18
round=18 elapsed_us=7949 rss_kib=36080 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=19
round=19 elapsed_us=7307 rss_kib=36096 reads=0 read_bytes=0 writes=0 active_keys=0 calls=20
round=20 elapsed_us=7856 rss_kib=36096 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=21
round=21 elapsed_us=7277 rss_kib=36096 reads=0 read_bytes=0 writes=0 active_keys=0 calls=22
round=22 elapsed_us=7896 rss_kib=36096 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=23
round=23 elapsed_us=7578 rss_kib=36096 reads=0 read_bytes=0 writes=0 active_keys=0 calls=24
round=24 elapsed_us=7804 rss_kib=36096 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=25
round=25 elapsed_us=7453 rss_kib=36096 reads=0 read_bytes=0 writes=0 active_keys=0 calls=26
round=26 elapsed_us=8009 rss_kib=36112 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=27
round=27 elapsed_us=7519 rss_kib=36112 reads=0 read_bytes=0 writes=0 active_keys=0 calls=28
round=28 elapsed_us=7740 rss_kib=36112 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=29
round=29 elapsed_us=7253 rss_kib=36112 reads=0 read_bytes=0 writes=0 active_keys=0 calls=30
round=30 elapsed_us=7807 rss_kib=36112 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=31
round=31 elapsed_us=7481 rss_kib=36112 reads=0 read_bytes=0 writes=0 active_keys=0 calls=32
round=32 elapsed_us=7977 rss_kib=36112 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=33
round=33 elapsed_us=7233 rss_kib=36112 reads=0 read_bytes=0 writes=0 active_keys=0 calls=34
round=34 elapsed_us=7849 rss_kib=36112 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=35
round=35 elapsed_us=7368 rss_kib=36112 reads=0 read_bytes=0 writes=0 active_keys=0 calls=36
round=36 elapsed_us=7889 rss_kib=36128 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=37
round=37 elapsed_us=7655 rss_kib=36128 reads=0 read_bytes=0 writes=0 active_keys=0 calls=38
round=38 elapsed_us=7706 rss_kib=36128 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=39
round=39 elapsed_us=7366 rss_kib=36128 reads=0 read_bytes=0 writes=0 active_keys=0 calls=40
round=40 elapsed_us=7757 rss_kib=36128 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=41
round=41 elapsed_us=7431 rss_kib=36128 reads=0 read_bytes=0 writes=0 active_keys=0 calls=42
round=42 elapsed_us=7782 rss_kib=36128 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=43
round=43 elapsed_us=7486 rss_kib=36128 reads=0 read_bytes=0 writes=0 active_keys=0 calls=44
round=44 elapsed_us=8013 rss_kib=36128 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=45
round=45 elapsed_us=7331 rss_kib=36128 reads=0 read_bytes=0 writes=0 active_keys=0 calls=46
round=46 elapsed_us=7938 rss_kib=36128 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=47
round=47 elapsed_us=7504 rss_kib=36128 reads=0 read_bytes=0 writes=0 active_keys=0 calls=48
round=48 elapsed_us=7914 rss_kib=36128 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=49
round=49 elapsed_us=7263 rss_kib=36128 reads=0 read_bytes=0 writes=0 active_keys=0 calls=50
round=50 elapsed_us=7870 rss_kib=36128 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=51
round=51 elapsed_us=7361 rss_kib=36128 reads=0 read_bytes=0 writes=0 active_keys=0 calls=52
round=52 elapsed_us=8141 rss_kib=36128 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=53
round=53 elapsed_us=7563 rss_kib=36128 reads=0 read_bytes=0 writes=0 active_keys=0 calls=54
round=54 elapsed_us=8104 rss_kib=36128 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=55
