storage,keys,queries,capacity,workload,round,mode,mean_us,p50_us,p95_us,reads_per_query,bytes_per_query,peak_charge,peak_entries
resident,4096,8,4096,hot64,0,cursor,24.156,21.500,45.042,0.000,0.0,0,0
resident,4096,8,4096,hot64,0,uncached,76.078,71.583,100.833,0.000,0.0,0,0
resident,4096,8,4096,hot64,0,cached,73.984,72.042,88.416,0.000,0.0,3703,7
resident,4096,8,4096,hot64,1,cached,61.406,61.708,74.208,0.000,0.0,3703,7
resident,4096,8,4096,hot64,1,uncached,53.604,54.208,56.875,0.000,0.0,0,0
resident,4096,8,4096,hot64,1,cursor,12.291,11.875,14.417,0.000,0.0,0,0
paged,4096,8,4096,hot64,0,uncached,568.938,563.792,638.125,16.000,3411456.0,0,0
paged,4096,8,4096,hot64,0,cached,451.594,511.542,518.625,14.000,2985024.0,3703,7
paged,4096,8,4096,hot64,1,cached,453.766,518.250,526.542,14.000,2985024.0,3703,7
paged,4096,8,4096,hot64,1,uncached,512.782,510.250,530.084,16.000,3411456.0,0,0
