build keys=65536 fanout=16 records=1048576 hot=655 capacity=11136 nocache=true elapsed_ms=41 rss_kib=3728 file_bytes=25718784 writes=128
round=0 elapsed_us=33202 rss_kib=6208 reads=128 read_bytes=25718784 writes=0 active_keys=655 calls=1
round=1 elapsed_us=526 rss_kib=6480 reads=0 read_bytes=0 writes=0 active_keys=0 calls=2
round=2 elapsed_us=496 rss_kib=6656 reads=0 read_bytes=0 writes=0 active_keys=655 calls=3
round=3 elapsed_us=447 rss_kib=6704 reads=0 read_bytes=0 writes=0 active_keys=0 calls=4
round=4 elapsed_us=466 rss_kib=6704 reads=0 read_bytes=0 writes=0 active_keys=655 calls=5
round=5 elapsed_us=454 rss_kib=6704 reads=0 read_bytes=0 writes=0 active_keys=0 calls=6
round=6 elapsed_us=481 rss_kib=6704 reads=0 read_bytes=0 writes=0 active_keys=655 calls=7
round=7 elapsed_us=439 rss_kib=6720 reads=0 read_bytes=0 writes=0 active_keys=0 calls=8
round=8 elapsed_us=445 rss_kib=6752 reads=0 read_bytes=0 writes=0 active_keys=655 calls=9
round=9 elapsed_us=396 rss_kib=6752 reads=0 read_bytes=0 writes=0 active_keys=0 calls=10
round=10 elapsed_us=436 rss_kib=6752 reads=0 read_bytes=0 writes=0 active_keys=655 calls=11
round=11 elapsed_us=400 rss_kib=6768 reads=0 read_bytes=0 writes=0 active_keys=0 calls=12
verified rounds=12 rss_kib=6768 file_bytes=0 total_read_bytes=25718784
