build keys=1048576 fanout=16 records=16777216 hot=10485 capacity=178246 nocache=true elapsed_ms=320 rss_kib=3296 file_bytes=411500544 writes=2048
round=0 elapsed_us=446049 rss_kib=24784 reads=2048 read_bytes=411500544 writes=0 active_keys=10485 calls=1
round=1 elapsed_us=7088 rss_kib=25040 reads=0 read_bytes=0 writes=0 active_keys=0 calls=2
round=2 elapsed_us=7760 rss_kib=25136 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=3
round=3 elapsed_us=7433 rss_kib=25200 reads=0 read_bytes=0 writes=0 active_keys=0 calls=4
round=4 elapsed_us=7876 rss_kib=25232 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=5
round=5 elapsed_us=7444 rss_kib=25232 reads=0 read_bytes=0 writes=0 active_keys=0 calls=6
round=6 elapsed_us=7902 rss_kib=25280 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=7
round=7 elapsed_us=7398 rss_kib=25280 reads=0 read_bytes=0 writes=0 active_keys=0 calls=8
round=8 elapsed_us=7799 rss_kib=25296 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=9
round=9 elapsed_us=7376 rss_kib=25360 reads=0 read_bytes=0 writes=0 active_keys=0 calls=10
round=10 elapsed_us=7841 rss_kib=25360 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=11
round=11 elapsed_us=7447 rss_kib=25360 reads=0 read_bytes=0 writes=0 active_keys=0 calls=12
round=12 elapsed_us=7885 rss_kib=25360 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=13
round=13 elapsed_us=7255 rss_kib=25360 reads=0 read_bytes=0 writes=0 active_keys=0 calls=14
round=14 elapsed_us=7891 rss_kib=25360 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=15
round=15 elapsed_us=7420 rss_kib=25360 reads=0 read_bytes=0 writes=0 active_keys=0 calls=16
round=16 elapsed_us=7831 rss_kib=25360 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=17
round=17 elapsed_us=7454 rss_kib=25360 reads=0 read_bytes=0 writes=0 active_keys=0 calls=18
round=18 elapsed_us=7870 rss_kib=25360 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=19
round=19 elapsed_us=7467 rss_kib=25376 reads=0 read_bytes=0 writes=0 active_keys=0 calls=20
round=20 elapsed_us=7909 rss_kib=25392 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=21
round=21 elapsed_us=7331 rss_kib=25392 reads=0 read_bytes=0 writes=0 active_keys=0 calls=22
round=22 elapsed_us=7810 rss_kib=25392 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=23
round=23 elapsed_us=7408 rss_kib=25392 reads=0 read_bytes=0 writes=0 active_keys=0 calls=24
round=24 elapsed_us=7837 rss_kib=25392 reads=0 read_bytes=0 writes=0 active_keys=10485 calls=25
