storage,keys,queries,capacity,workload,round,mode,mean_us,p50_us,p95_us,reads_per_query,bytes_per_query,peak_charge,peak_entries
resident,262144,256,65536,repeat,0,cursor,20.060,18.875,20.833,0.000,0.0,0,0
resident,262144,256,65536,repeat,0,uncached,71.974,72.084,74.458,0.000,0.0,0,0
resident,262144,256,65536,repeat,0,cached,2.530,1.792,2.417,0.000,0.0,529,1
resident,262144,256,65536,repeat,1,cached,2.431,1.750,1.917,0.000,0.0,529,1
resident,262144,256,65536,repeat,1,uncached,68.394,68.542,71.625,0.000,0.0,0,0
resident,262144,256,65536,repeat,1,cursor,21.701,21.292,21.625,0.000,0.0,0,0
resident,262144,256,65536,hot64,0,cursor,18.371,17.667,19.250,0.000,0.0,0,0
resident,262144,256,65536,hot64,0,uncached,67.080,67.458,69.667,0.000,0.0,0,0
resident,262144,256,65536,hot64,0,cached,24.496,19.750,56.333,0.000,0.0,65067,123
resident,262144,256,65536,hot64,1,cached,24.458,19.917,55.833,0.000,0.0,65067,123
resident,262144,256,65536,hot64,1,uncached,66.100,66.500,72.208,0.000,0.0,0,0
resident,262144,256,65536,hot64,1,cursor,18.156,17.833,18.792,0.000,0.0,0,0
resident,262144,256,65536,hot4096,0,cursor,50.323,47.583,70.792,0.000,0.0,0,0
resident,262144,256,65536,hot4096,0,uncached,94.083,91.458,117.042,0.000,0.0,0,0
resident,262144,256,65536,hot4096,0,cached,99.469,96.750,120.042,0.000,0.0,65067,123
resident,262144,256,65536,hot4096,1,cached,95.174,92.459,117.584,0.000,0.0,65067,123
resident,262144,256,65536,hot4096,1,uncached,89.996,87.000,113.750,0.000,0.0,0,0
resident,262144,256,65536,hot4096,1,cursor,48.505,47.291,62.750,0.000,0.0,0,0
resident,262144,256,65536,uniform,0,cursor,51.892,50.708,63.417,0.000,0.0,0,0
resident,262144,256,65536,uniform,0,uncached,95.102,92.000,116.959,0.000,0.0,0,0
resident,262144,256,65536,uniform,0,cached,102.674,100.084,120.917,0.000,0.0,65067,123
resident,262144,256,65536,uniform,1,cached,100.185,97.792,119.917,0.000,0.0,65067,123
resident,262144,256,65536,uniform,1,uncached,95.942,92.834,117.709,0.000,0.0,0,0
resident,262144,256,65536,uniform,1,cursor,52.007,50.917,63.709,0.000,0.0,0,0
resident,262144,256,65536,append,0,cursor,109.926,111.500,188.292,0.000,0.0,0,0
resident,262144,256,65536,append,0,uncached,785.667,825.167,1426.667,0.000,0.0,0,0
resident,262144,256,65536,append,0,cached,62.584,70.083,118.916,0.000,0.0,16913,1
resident,262144,256,65536,append,1,cached,62.126,70.875,115.959,0.000,0.0,16913,1
resident,262144,256,65536,append,1,uncached,805.093,831.500,1458.959,0.000,0.0,0,0
resident,262144,256,65536,append,1,cursor,109.787,109.584,190.000,0.000,0.0,0,0
paged,262144,256,65536,repeat,0,uncached,4291.997,4290.709,4387.583,128.000,27291648.0,0,0
paged,262144,256,65536,repeat,0,cached,20.596,1.917,2.000,0.500,106608.0,529,1
paged,262144,256,65536,repeat,1,cached,19.972,1.875,1.958,0.500,106608.0,529,1
paged,262144,256,65536,repeat,1,uncached,4252.789,4228.667,4396.334,128.000,27291648.0,0,0
paged,262144,256,65536,hot64,0,uncached,4526.281,4499.583,4662.250,128.000,27291648.0,0,0
paged,262144,256,65536,hot64,0,cached,196.876,20.125,1203.417,4.875,1039428.0,65067,123
paged,262144,256,65536,hot64,1,cached,196.491,19.791,1246.291,4.875,1039428.0,65067,123
paged,262144,256,65536,hot64,1,uncached,4516.643,4493.916,4666.083,128.000,27291648.0,0,0
paged,262144,256,65536,hot4096,0,uncached,4467.332,4386.375,5512.458,120.406,25672539.0,0,0
paged,262144,256,65536,hot4096,0,cached,3519.549,3497.500,4575.125,97.438,20775234.0,65067,123
paged,262144,256,65536,hot4096,1,cached,3561.568,3545.250,4692.167,97.438,20775234.0,65067,123
paged,262144,256,65536,hot4096,1,uncached,4356.703,4330.000,4768.541,120.406,25672539.0,0,0
paged,262144,256,65536,uniform,0,uncached,4320.335,4304.166,4667.208,120.812,25759158.0,0,0
paged,262144,256,65536,uniform,0,cached,4331.741,4323.750,4665.458,120.281,25645887.0,65067,123
paged,262144,256,65536,uniform,1,cached,4344.288,4321.833,4727.208,120.281,25645887.0,65067,123
paged,262144,256,65536,uniform,1,uncached,4343.560,4344.375,4673.875,120.812,25759158.0,0,0
paged,262144,256,65536,append,0,uncached,6366.591,6335.875,8418.625,256.500,27534256.0,0,0
paged,262144,256,65536,append,0,cached,95.921,77.875,128.583,1.500,108496.0,16913,1
paged,262144,256,65536,append,1,cached,93.888,80.166,126.417,1.500,108496.0,16913,1
paged,262144,256,65536,append,1,uncached,6412.195,6493.916,8255.125,256.500,27534256.0,0,0
