storage,keys,queries,capacity,workload,round,mode,mean_us,p50_us,p95_us,reads_per_query,bytes_per_query,peak_charge,peak_entries
resident,65536,256,262144,hot64,0,cursor,16.139,15.750,17.958,0.000,0.0,0,0
resident,65536,256,262144,hot64,0,uncached,65.368,64.959,73.375,0.000,0.0,0,0
resident,65536,256,262144,hot64,0,cached,23.828,21.084,39.667,0.000,0.0,135424,256
resident,65536,256,262144,hot64,1,cached,22.675,20.500,35.583,0.000,0.0,135424,256
resident,65536,256,262144,hot64,1,uncached,60.723,61.084,64.959,0.000,0.0,0,0
resident,65536,256,262144,hot64,1,cursor,15.008,14.666,17.125,0.000,0.0,0,0
paged,65536,256,262144,hot64,0,uncached,3802.857,3791.834,4299.375,112.875,24066756.0,0,0
paged,65536,256,262144,hot64,0,cached,83.642,19.250,283.291,1.812,386454.0,135424,256
paged,65536,256,262144,hot64,1,cached,82.707,19.208,293.542,1.812,386454.0,135424,256
paged,65536,256,262144,hot64,1,uncached,3833.956,3826.084,4355.750,112.875,24066756.0,0,0
