storage,keys,capacity,workload,mode,mean_us,p50_us,p95_us,reads_per_query,bytes_per_query,peak_charge,peak_entries,source
resident,65536,65536,repeat,cursor,15.684,15.146,16.500,0.000,0.000,0,0,65536-keys.csv
resident,65536,65536,repeat,uncached,61.340,60.438,64.980,0.000,0.000,0,0,65536-keys.csv
resident,65536,65536,repeat,cached,2.002,1.459,1.625,0.000,0.000,529,1,65536-keys.csv
resident,65536,65536,hot64,cursor,16.149,15.666,18.292,0.000,0.000,0,0,65536-keys.csv
resident,65536,65536,hot64,uncached,59.977,58.520,65.376,0.000,0.000,0,0,65536-keys.csv
resident,65536,65536,hot64,cached,22.652,18.895,49.626,0.000,0.000,65067,123,65536-keys.csv
resident,65536,65536,hot4096,cursor,28.812,26.416,41.979,0.000,0.000,0,0,65536-keys.csv
resident,65536,65536,hot4096,uncached,69.742,67.771,85.438,0.000,0.000,0,0,65536-keys.csv
resident,65536,65536,hot4096,cached,79.286,76.876,103.501,0.000,0.000,65067,123,65536-keys.csv
resident,65536,65536,uniform,cursor,30.467,28.708,41.874,0.000,0.000,0,0,65536-keys.csv
resident,65536,65536,uniform,uncached,71.972,70.271,84.938,0.000,0.000,0,0,65536-keys.csv
resident,65536,65536,uniform,cached,75.069,73.876,86.854,0.000,0.000,65067,123,65536-keys.csv
resident,65536,65536,append,cursor,106.134,106.541,186.729,0.000,0.000,0,0,65536-keys.csv
resident,65536,65536,append,uncached,776.343,798.750,1422.667,0.000,0.000,0,0,65536-keys.csv
resident,65536,65536,append,cached,62.828,70.312,119.645,0.000,0.000,16913,1,65536-keys.csv
paged,65536,65536,repeat,uncached,3647.441,3629.208,3763.896,112.000,23880192.000,0,0,65536-keys.csv
paged,65536,65536,repeat,cached,18.886,1.480,1.522,0.438,93282.000,529,1,65536-keys.csv
paged,65536,65536,hot64,uncached,3831.990,3812.750,4332.791,112.875,24066756.000,0,0,65536-keys.csv
paged,65536,65536,hot64,cached,183.700,19.084,1244.187,4.594,979461.000,65067,123,65536-keys.csv
paged,65536,65536,hot4096,uncached,3454.731,3498.292,4110.895,101.062,21548142.000,0,0,65536-keys.csv
paged,65536,65536,hot4096,cached,2893.555,2840.625,3806.896,84.656,18050067.000,65067,123,65536-keys.csv
paged,65536,65536,uniform,uncached,3487.750,3521.479,4049.417,102.156,21781347.000,0,0,65536-keys.csv
paged,65536,65536,uniform,cached,3435.099,3492.688,3940.688,100.781,21488175.000,65067,123,65536-keys.csv
paged,65536,65536,append,uncached,5726.410,5819.729,7521.479,240.500,24122800.000,0,0,65536-keys.csv
paged,65536,65536,append,cached,90.627,80.625,127.792,1.438,95170.000,16913,1,65536-keys.csv
resident,262144,65536,repeat,cursor,20.880,20.084,21.229,0.000,0.000,0,0,262144-keys.csv
resident,262144,65536,repeat,uncached,70.184,70.313,73.041,0.000,0.000,0,0,262144-keys.csv
resident,262144,65536,repeat,cached,2.481,1.771,2.167,0.000,0.000,529,1,262144-keys.csv
resident,262144,65536,hot64,cursor,18.264,17.750,19.021,0.000,0.000,0,0,262144-keys.csv
resident,262144,65536,hot64,uncached,66.590,66.979,70.938,0.000,0.000,0,0,262144-keys.csv
resident,262144,65536,hot64,cached,24.477,19.834,56.083,0.000,0.000,65067,123,262144-keys.csv
resident,262144,65536,hot4096,cursor,49.414,47.437,66.771,0.000,0.000,0,0,262144-keys.csv
resident,262144,65536,hot4096,uncached,92.040,89.229,115.396,0.000,0.000,0,0,262144-keys.csv
resident,262144,65536,hot4096,cached,97.322,94.605,118.813,0.000,0.000,65067,123,262144-keys.csv
resident,262144,65536,uniform,cursor,51.950,50.812,63.563,0.000,0.000,0,0,262144-keys.csv
resident,262144,65536,uniform,uncached,95.522,92.417,117.334,0.000,0.000,0,0,262144-keys.csv
resident,262144,65536,uniform,cached,101.430,98.938,120.417,0.000,0.000,65067,123,262144-keys.csv
resident,262144,65536,append,cursor,109.857,110.542,189.146,0.000,0.000,0,0,262144-keys.csv
resident,262144,65536,append,uncached,795.380,828.333,1442.813,0.000,0.000,0,0,262144-keys.csv
resident,262144,65536,append,cached,62.355,70.479,117.438,0.000,0.000,16913,1,262144-keys.csv
paged,262144,65536,repeat,uncached,4272.393,4259.688,4391.958,128.000,27291648.000,0,0,262144-keys.csv
paged,262144,65536,repeat,cached,20.284,1.896,1.979,0.500,106608.000,529,1,262144-keys.csv
paged,262144,65536,hot64,uncached,4521.462,4496.749,4664.166,128.000,27291648.000,0,0,262144-keys.csv
paged,262144,65536,hot64,cached,196.684,19.958,1224.854,4.875,1039428.000,65067,123,262144-keys.csv
paged,262144,65536,hot4096,uncached,4412.017,4358.188,5140.499,120.406,25672539.000,0,0,262144-keys.csv
paged,262144,65536,hot4096,cached,3540.559,3521.375,4633.646,97.438,20775234.000,65067,123,262144-keys.csv
paged,262144,65536,uniform,uncached,4331.948,4324.271,4670.541,120.812,25759158.000,0,0,262144-keys.csv
paged,262144,65536,uniform,cached,4338.014,4322.791,4696.333,120.281,25645887.000,65067,123,262144-keys.csv
paged,262144,65536,append,uncached,6389.393,6414.896,8336.875,256.500,27534256.000,0,0,262144-keys.csv
paged,262144,65536,append,cached,94.905,79.020,127.500,1.500,108496.000,16913,1,262144-keys.csv
resident,65536,4096,hot64,cursor,15.963,15.666,17.605,0.000,0.000,0,0,hot64-capacity4096.csv
resident,65536,4096,hot64,uncached,63.581,63.541,70.541,0.000,0.000,0,0,hot64-capacity4096.csv
resident,65536,4096,hot64,cached,48.782,47.395,67.812,0.000,0.000,3703,7,hot64-capacity4096.csv
paged,65536,4096,hot64,uncached,3843.722,3816.083,4330.020,112.875,24066756.000,0,0,hot64-capacity4096.csv
paged,65536,4096,hot64,cached,1564.191,1406.125,3376.042,44.688,9528090.000,3703,7,hot64-capacity4096.csv
resident,65536,262144,hot64,cursor,15.573,15.208,17.541,0.000,0.000,0,0,hot64-capacity262144.csv
resident,65536,262144,hot64,uncached,63.045,63.022,69.167,0.000,0.000,0,0,hot64-capacity262144.csv
resident,65536,262144,hot64,cached,23.252,20.792,37.625,0.000,0.000,135424,256,hot64-capacity262144.csv
paged,65536,262144,hot64,uncached,3818.407,3808.959,4327.562,112.875,24066756.000,0,0,hot64-capacity262144.csv
paged,65536,262144,hot64,cached,83.174,19.229,288.416,1.812,386454.000,135424,256,hot64-capacity262144.csv
resident,65536,65536,append_compact,cursor,20.043,19.459,27.250,0.000,0.000,0,0,append-compaction.csv
resident,65536,65536,append_compact,uncached,145.161,145.355,239.771,0.000,0.000,0,0,append-compaction.csv
resident,65536,65536,append_compact,cached,61.901,71.729,112.896,0.000,0.000,16913,1,append-compaction.csv
paged,65536,65536,append_compact,uncached,1148.141,1029.625,1776.646,43.395,6309951.900,0,0,append-compaction.csv
paged,65536,65536,append_compact,cached,81.052,79.708,126.625,1.230,45444.100,16913,1,append-compaction.csv
